nama_produk,jumlah_terjual,harga,kategori_produk,tanggal_transaksi
Ban,82.0,154000.0,BL AHM 70/90-17 KWW,2021-01-01
Bearing,35.0,50500.0,BRG AHM SET 6301 RS,2021-01-01
Seal,42.0,5000.0,Seal Kopling,2021-01-01
Roller,73.0,72500.0,BRT VARIO 110,2021-01-01
Oli,64.0,49000.0,MPX 2 0.8L,2021-01-01
Gear Rantai,31.0,150000.0,Gear Seat Asp Grand,2021-01-01
Hendel Rem,57.0,900000.0,Hendel Rem KTC,2021-01-01
Aki,41.0,305000.0,Aki Kering GS ASTRA GTZ7V,2021-01-01
Bearing,40.0,45500.0,BRG AHM SET 6202 RS,2021-01-01
Filter Udara,36.0,70000.0,Filter Udara BRT,2021-01-01
Ban,81.0,240000.0,FDR TR TL 80/80-17 Sport Evo,2021-01-01
Oli,73.0,37500.0,Grand Manual 0.8 L,2021-01-01
Aki,78.0,305000.0,Aki Kering GS ASTRA GTZ7V,2021-01-01
Oli,69.0,15000.0,MOTUL SCOOTER GEAR,2021-01-01
Gear Rantai,85.0,182500.0,Gear seat YGP 5TP JUP Z,2021-01-01
Oli,77.0,49000.0,MPX 1 0.8L,2021-01-01
Oli,78.0,23000.0,Evalube 2T 0.7,2021-01-01
Bearing,79.0,50500.0,BRG AHM SET 6204 RS,2021-01-01
Ban,61.0,300000.0,FDR TR TL 90/80-17 Sport Evo,2021-01-01
Roller,40.0,70000.0,BRT Mio,2021-01-01
Ban,68.0,235000.0,BL Maxxis 80/90-14 VICTRA,2021-01-01
Seal,54.0,7000.0,Seal Pulau,2021-01-01
V-Belt,86.0,170000.0,V Belt set AHM K35,2021-01-01
Aki,73.0,200000.0,Aki Kering YGP 3C1,2021-01-01
Shockbreaker,38.0,210000.0,Shock AHM KZR Vario 125,2021-01-01
Gear Rantai,51.0,182500.0,Gear seat YGP 5TP JUP Z,2021-01-01
Seal,71.0,5000.0,Seal Kopling,2021-01-01
Oli,77.0,49000.0,MPX 1 0.8L,2021-01-01
Hendel Rem,55.0,150000.0,Hendel Rem Ori AHM,2021-01-01
V-Belt,57.0,150000.0,V Belt kit AHM K16,2021-01-01
Busi,55.0,28000.0,BUSI AHM U22FER9,2021-01-01
V-Belt,69.0,150000.0,V Belt set AHM KWN,2021-01-01
Sensor,40.0,170000.0,Sensor CKP KOJ Genio,2021-01-01
Kampas Rem,78.0,40000.0,Kampas Belakang Supra,2021-01-01
Ban,47.0,235000.0,BL Maxxis 80/90-14 VICTRA,2021-01-01
Bearing,36.0,55000.0,BRG AHM SET 6303 RS,2021-01-01
Sakelar,48.0,15000.0,Sakelar Retting,2021-01-01
Piringan Cakram,62.0,98500.0,Piringan BLK KC/UTH NMX,2021-01-01
Roller,57.0,72500.0,BRT VARIO 110,2021-01-01
Seal,82.0,8000.0,Seal oring,2021-01-01
Gear Rantai,48.0,182500.0,Gear seat YGP 5TP JUP Z,2021-01-01
Bearing,39.0,52000.0,BRG AHM SET 6302 RS,2021-01-01
Ban,45.0,186500.0,BL AHM 80/90-17 KWW,2021-01-01
V-Belt,66.0,150000.0,V Belt set AHM KWN,2021-01-01
Hendel Rem,39.0,100000.0,Hendel Rem RCB kw,2021-01-01
Bearing,47.0,55000.0,BRG AHM SET 6303 RS,2021-01-01
Dinamo,74.0,166000.0,Dinamo ST indo KPH,2021-01-01
Kampas Rem,46.0,55000.0,DPAD YGP 3C1 NMX,2021-01-01
Rumah Roller,45.0,75000.0,AHM KOJ Scoopy New,2021-01-01
Velg,55.0,1600000.0,Velg VND,2021-01-01
Roller,39.0,77500.0,BRT NMX,2021-01-01
Aki,66.0,250000.0,Aki Basah Yuasa YB5L-B,2021-01-01
Bearing,59.0,56500.0,BRG AHM SET 6304 RS,2021-01-01
Seal,52.0,15000.0,Seal Water Pump,2021-01-01
Busi,84.0,170000.0,BUSI NGK BP7ES,2021-01-01
Ban,71.0,280000.0,BL Maxxis 90/80-14 VICTRA,2021-01-01
Kampas Rem,30.0,65000.0,DPAD YGP 2BM,2021-01-01
Ban,45.0,235000.0,BL Maxxis 80/90-14 VICTRA,2021-01-01
Sensor,78.0,87000.0,Sensor TPS,2021-01-01
Kampas Rem,44.0,55000.0,DPAD YGP 3C1 NMX,2021-01-01
Seal,67.0,10000.0,Seal Crankshaf,2021-01-01
Bearing,34.0,45500.0,BRG AHM SET 6202 RS,2021-01-01
Ban,86.0,235000.0,BL Maxxis 80/90-14 VICTRA,2021-01-01
Piringan Cakram,86.0,55500.0,Piringan DPN AHM Vario,2021-01-01
Kampas Rem,38.0,47000.0,DPAD BLK SUPRA,2021-01-01
Oli,35.0,64000.0,Motul GP MTC 4T,2021-01-01
V-Belt,42.0,145000.0,V Belt set AHM KVB,2021-01-01
Oli,73.0,72000.0,MOTUL SCOOTER LE 1 LTR,2021-01-01
Kampas Rem,60.0,51000.0,DPAD AHM KVBT01 VARIO,2021-01-01
Oli,43.0,34500.0,Castrol Pro 2T,2021-01-01
Bearing,37.0,56500.0,BRG AHM SET 6304 RS,2021-01-01
Shockbreaker,73.0,200000.0,Shock AHM K25 Beat FI,2021-01-01
Kaca Spion,46.0,44500.0,Spion Vario WIN,2021-01-01
Piringan Cakram,79.0,98500.0,Piringan BLK KC/UTH NMX,2021-01-01
Ban,55.0,270000.0,BL IRC MB67 110/90-12,2021-01-01
Hendel Rem,55.0,200000.0,Hendel Rem No Name,2021-01-01
Hendel Rem,85.0,100000.0,Hendel Rem RCB kw,2021-01-01
Hendel Rem,51.0,150000.0,Hendel Rem Ori AHM,2021-01-01
Kampas Rem,44.0,55000.0,DPAD YGP 3C1 NMX,2021-01-01
Oli,76.0,105000.0,Motul SC EXP LE 4T,2021-01-01
Piringan Cakram,70.0,98500.0,Piringan DPN KC/YMMT NMX,2021-01-01
Oli,49.0,62000.0,Yamalube Super Matic 1 L,2021-01-01
